P1,mol_id,smiles
1,CID1482658,CCn1cc(S(=O)(=O)c2ccc(C)cc2)n(Cc2ccc(C(C)(C)C)cc2)c1=O
1,CID884233,O=C(Nc1ccc(Oc2cccc3ccccc23)cc1)c1ccco1
0,CID648339,CCCOc1ccc(C(=O)NCc2cccnc2)cc1
1,CID648338,COc1ccc2oc(C)c(C(N)=O)c2c1
1,CID2851395,O=C1CC(N2CCC(Cc3ccccc3)CC2)C(=O)N1CCc1ccccc1
1,CID648331,Cc1nnc(Sc2nc(Sc3nnc(C)s3)nc(N3CCN(C)CC3)n2)s1
1,CID648330,CCCCn1c(SCc2cccnc2)nc2c1c(=O)n(C)c(=O)n2C
1,CID648333,COC(=O)c1ccccc1NC(=O)CN1CCC(n2nnc3cc(F)ccc32)CC1
1,CID648334,Cc1ccc(NC(=O)C2CCCN(c3ncccn3)C2)cc1F
1,CID4065193,COc1cccc2cc(C(=O)NCc3ccco3)/c(=N/c3ccc(C(=O)O)cc3)oc12
1,CID648336,COc1ccc(CN(C(=O)CN2C(=O)COc3ccccc32)C2CCCC2)c(OC)c1
1,CID5309823,CN1CCN(CCCNC(=O)c2cn(C)c3ccc(S(=O)(=O)N(C)C)cc3c2=O)CC1
1,CID5309822,O=C(Cn1ncc2c(=O)oc3ccccc3c21)NCCCN1CCCC1=O
1,CID5309821,CCn1c(=O)cc(OCC(=O)N2CCCC2)c2ccccc21
0,CID5309827,CC1=C(C(=O)Nc2cc(-c3cccc(F)c3)[nH]n2)C2(CCCCC2)OC1=O
0,CID5309826,CCOC(=O)N1CCC(NC(=O)CSCc2nc(-c3sccc3C)oc2C)CC1
1,CID5498390,COC(=O)C1=C/C(=C2/C=Nc3ccccc32)NN1
1,CID5309824,CC1=C(C(=O)Nc2cccnc2)C(c2ccc(C(C)C)cc2)N2NC=NC2=N1
1,CID5309829,CCCc1cc(C(=O)Nc2sc3c(c2C(=O)OCC)CCCC3)no1
0,CID5309828,Cc1cccc2sc(NC(=O)Cn3cccc3)nc12
1,CID2175198,Cc1cccc(Oc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1C
1,CID713301,CCCc1nn(-c2cc(Cl)ccc2OC)c2c1C(=O)CCC2
1,CID811700,CCC(=O)c1ccc(OC(=O)c2cccs2)cc1
1,CID1120458,CC1=C(C#N)C(=O)NC(=O)/C1=C\c1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1
1,CID655763,Cc1cc(C)c(NC(=O)CS(=O)CC(=O)N2CCN(c3ccccc3)CC2)c(C)c1
1,CID5916800,COc1ccc(/C=C/C(=O)CC(O)(c2ccccc2)C(F)(F)F)cc1
0,CID665718,c1ccc(-c2nn3c(-c4ccco4)nnc3s2)nc1
1,CID665719,COc1ccc(CCn2c(N3CCN(Cc4ccccc4)CC3)nc3c2c(=O)[nH]c(=O)n3C)cc1
